#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-111.025297,84,475.482679
-102.967324,49,475.576682
-103.509333,62,475.686697
-103.577003,36,475.760697
-102.99414,53,475.865209
-104.244003,47,475.960556
-102.302356,61,476.070066
-107.626067,94,476.236269
-103.476322,47,476.322778
-101.188932,60,476.434288
-103.328182,38,476.509796
-103.253777,39,476.582133
-103.434633,33,476.650642
-102.848657,49,476.745153
-102.324872,44,476.829662
-107.230129,116,477.038417
-102.684857,48,477.126926
-103.016887,46,477.218435
-103.255469,75,477.352944
-100.587303,83,477.498962
-111.227188,105,477.68398
-104.054027,62,477.805491
-111.091118,42,477.885
-100.664665,58,477.994509
-103.558416,63,478.106018
-100.805737,77,478.246258
-103.133916,76,478.38077
-105.36541,66,478.499786
-104.436256,89,478.659294
-102.148444,58,478.770807
-116.58214,99,478.944822
-110.967447,62,479.06033
-102.297668,51,479.157013
-100.659166,52,479.253523
-103.762044,41,479.333032
-102.287866,53,479.433542
-111.798294,113,479.639297
-102.132857,45,479.723807
-101.630091,48,479.813316
-102.217255,59,479.922826
-102.596563,50,480.018334
-104.0973,42,480.098843
-99.275442,64,480.217352
-103.824505,44,480.30386
-120.723916,159,480.584388
-103.198025,60,480.695896
-101.786297,57,480.801406
-104.387851,53,480.901914
-99.982495,57,481.007145
-102.991311,48,481.098654
-106.437374,483,481.919627
-96.793267,92,482.087645
-104.010982,43,482.165645
-103.211256,45,482.252153
-107.464673,135,482.492482
-112.135881,102,482.675994
-105.025607,46,482.764501
-103.988083,43,482.84901
-103.159505,42,482.928519
-102.619841,44,483.015029
-112.586842,72,483.143538
-119.666715,126,483.367557
-102.677717,42,483.452068
-102.487869,46,483.54054
-103.872447,43,483.62405
-104.28351,76,483.762558
-105.348643,86,483.914747
-103.436532,44,483.99924
-104.022852,44,484.085688
-99.598189,64,484.205259
-107.851055,115,484.406844
-101.687738,79,484.548231
-99.726937,53,484.649459
-101.608648,108,484.834725
-104.445065,44,484.920673
